brand,price,location,date,petrol
Mol,579.0,"Lakitelek, Szikra u. 206/C",2024-01-19,95 octane petrol
Mol,579.0,"Esztergom, Dorogi út (111.sz.fkl út)",2024-01-19,95 octane petrol
Mol,579.0,"Barcs, Erkel Ferenc utca hrsz.1931  ",2024-01-19,95 octane petrol
Mol,579.0,"Vajszló, Széchenyi István út 34.  ",2024-01-19,95 octane petrol
Mol,579.0,"Harkány, Pécsi út  ",2024-01-19,95 octane petrol
Mol,581.0,"Siklós, Felszabadulás út 1211/9 hrsz.",2024-01-19,95 octane petrol
Tele-Tank,579.9,"Nagyharsány, Beremendi út",2024-01-19,95 octane petrol
Mol,579.0,"Szigetvár, József Attila u. 66.  ",2024-01-19,95 octane petrol
Shell,579.9,"Szigetvár, József Attila u.",2024-01-19,95 octane petrol
Mol,579.0,"Csurgó, Iharos út  ",2024-01-19,95 octane petrol
Mol,579.0,"Villány, Virágosi út hrsz.0102.  ",2024-01-19,95 octane petrol
Tele-Tank,579.9,"Nagyatád, Berzencei út 0220/33. hrsz.",2024-01-19,95 octane petrol
Mol,579.0,"Szalánta, 58. Főút",2024-01-19,95 octane petrol
Mol,579.0,"Nagyatád, Lábodi út  30.",2024-01-19,95 octane petrol
Mol,579.0,"Szentlőrinc, Törökföld u.",2024-01-19,95 octane petrol
Mol,579.0,"Letenye, Bajcsy-Zsilinszki Endre u.  38",2024-01-19,95 octane petrol
Fer Oil 94 Kft.,593.4,"Becsehely, Hrsz. 011/31",2024-01-01,95 octane petrol
Mol,579.0,"Pécs, Maléter Pál u. Hrsz. 21169",2024-01-19,95 octane petrol
Mol,579.0,"Szentlászló, 066/2 hrsz.  ",2024-01-19,95 octane petrol
Mol,579.0,"Pécs, 6.sz.fkl. út (Cserkút)  ",2024-01-19,95 octane petrol
Omv,580.9,"Pécs, Siklósi út 45.",2024-01-19,95 octane petrol
Orlen,581.0,"Pécs, Makay",2024-01-19,95 octane petrol
Orlen,581.0,"Pécs, Megyeri",2024-01-19,95 octane petrol
Mol,579.0,"Kadarkút, Kaposvári u.  ",2024-01-19,95 octane petrol
Shell,579.9,"Pécs, Siklósi út 66.",2024-01-19,95 octane petrol
Mol,579.0,"Pécs, Endresz út  ",2024-01-19,95 octane petrol
Mol,579.0,"Pécs, Siklósi út 9.",2024-01-19,95 octane petrol
Mol,581.0,"Bóly, külterület 0184/158 hrsz.",2024-01-19,95 octane petrol
Mol,579.0,"Pécs, Szigeti út  ",2024-01-19,95 octane petrol
Mol,577.0,"Pécs, Verseny utca 1.",2024-01-16,95 octane petrol
Mobil Petrol,577.9,"Kozármisleny, 57-es és 578-as főút körforgalmában",2024-01-19,95 octane petrol
Mol,579.0,"Segesd, Dózsa György tér  ",2024-01-19,95 octane petrol
Mol,579.0,"Nagykanizsa, Camping  ",2024-01-19,95 octane petrol
Mol,579.0,"Rédics, 86.sz.fkl. út  ",2024-01-19,95 octane petrol
Shell,579.9,"Pécs, Zsolnay u. 4.",2024-01-19,95 octane petrol
Mobil Petrol,565.9,"Nagykanizsa, Kalmár utca 5. hrsz: 93/10",2024-01-19,95 octane petrol
Mobil Petrol,577.9,"Nagykanizsa, 7. főút és 74. sz. főút körforgalom",2024-01-19,95 octane petrol
Oranges Oil Company,569.9,"Nagykanizsa, Táborhely u. 4.",2024-01-19,95 octane petrol
Omv,580.9,"Nagykanizsa, Hevesi Sándor u. 5.",2024-01-19,95 octane petrol
Shell,579.9,"Pécs, Zsolnay V. u. 41-43",2024-01-19,95 octane petrol
Mol,579.0,"Nagykanizsa, Balatoni út  ",2024-01-19,95 octane petrol
Omv,580.9,"Pécs, Zsolnay út 50.",2024-01-19,95 octane petrol
Orlen,581.0,"Nagykanizsa, Magyar u. 118.",2024-01-19,95 octane petrol
Shell,579.9,"Nagykanizsa, Balatoni út",2024-01-19,95 octane petrol
Omv,580.9,"Nagykanizsa, Virág Benedek u. 4.",2024-01-19,95 octane petrol
Mol,579.0,"Nagykanizsa, Elkerülő út - Garai út 17.",2024-01-19,95 octane petrol
Shell,579.9,"Nagykanizsa, Boszorkány u. 2.",2024-01-19,95 octane petrol
Mol Partner+,569.9,"Nagykanizsa, Magyar utca 166.",2024-01-19,95 octane petrol
Shell,579.9,"Pécs, Budai vám 1. (6.sz. főút mellett)",2024-01-19,95 octane petrol
Mol,579.0,"Pécs, Pécsváradi út 12.",2024-01-19,95 octane petrol
Mol,579.0,"Lenti, Széchenyi tér 3.  ",2024-01-19,95 octane petrol
Mol,579.0,"Pécs, Komlói út  ",2024-01-19,95 octane petrol
Mol,579.0,"Mohács, Eszéki út  ",2024-01-19,95 octane petrol
Mol,579.0,"Mohács, Pécsi út  ",2024-01-19,95 octane petrol
Orlen,581.0,"Böhönye, 61-es és 68-as csomópont",2024-01-19,95 octane petrol
Shell,579.9,"Mohács, Újváros, 57. sz. főút (3403/103.hrsz)",2024-01-19,95 octane petrol
Mol,579.0,"Böhönye, Szabadság u.  ",2024-01-19,95 octane petrol
Orlen,581.0,"Mohács, Szőlőhegy 7714. hrsz.",2024-01-19,95 octane petrol
Mol,629.0,"Zalakomár, 8752 dél - INA benzikút M7",2024-01-19,95 octane petrol
Mol,629.0,"Zalakomár, 8752 észak - INA benzikút M7",2024-01-19,95 octane petrol
Tele-Tank,579.9,"Magyarszék, külterület 0134/3 hrsz (66-os út mellett)",2024-01-19,95 octane petrol
Mol,579.0,"Komló, Feketegyémánt tér  ",2024-01-19,95 octane petrol
Mobil Petrol,578.9,"Geresdlak, Hunyadi János utca",2024-01-19,95 octane petrol
Shell,579.9,"Komló, Kossuth L. u. 54-56.",2024-01-19,95 octane petrol
Mol,579.0,"Pécsvárad, 6.sz.fkl.út  ",2024-01-19,95 octane petrol
Mol,579.0,"Sásd, Noszlopy Gáspár u.  ",2024-01-19,95 octane petrol
Mol,579.0,"Kaposvár, Marhahajtó út Vásár tér",2024-01-19,95 octane petrol
Omv,580.9,"Kaposvár, Áchim A u.",2024-01-19,95 octane petrol
Mol,579.0,"Kaposvár, Kanizsai u. külterület 031/7",2024-01-19,95 octane petrol
Shell,579.9,"Kaposvár, Berzsenyi u.",2024-01-19,95 octane petrol
Tele-Tank,579.9,"Kaposvár, Jutai út 26/a.",2024-01-19,95 octane petrol
Mobil Petrol,574.9,"Kaposvár, Árpád út 33-35.",2024-01-19,95 octane petrol
Mol,579.0,"Kaposvár, Guba Sándor út 3628/28 HRSZ",2024-01-19,95 octane petrol
Omv,580.9,"Kaposvár, Füredi út (5374/22 hrsz.)",2024-01-19,95 octane petrol
Mol,579.0,"Kaposvár, Füredi út 180.  ",2024-01-19,95 octane petrol
Mol Partner+,575.0,"Hetes, Petőfi Sándor utca 1.",2024-01-14,95 octane petrol
Tele-Tank,579.9,"Kaposvár, Toponári út 2.",2024-01-19,95 octane petrol
Mol,579.0,"Kaposszekcső, 611-es főút 0103/27 hrsz. (Petőfi u.)",2024-01-19,95 octane petrol
Avia,585.0,"Őriszentpéter, Városszer 22.",2024-01-15,95 octane petrol
Mobil Petrol,578.9,"Bátmonostor, Baracskai utca 57. 51. számú főút",2024-01-19,95 octane petrol
Orlen,581.0,"Mecseknádasd, Kültelek 1. 070/1hrsz",2024-01-19,95 octane petrol
Mol,579.0,"Kapospula, Rákóczi út 10.  ",2024-01-19,95 octane petrol
Omv,622.9,"Bátaszék, M6 autópálya 166.km hrsz: 120/118 bal",2024-01-19,95 octane petrol
Mol,579.0,"Marcali, Noszlopy Gáspár u. 37.  ",2024-01-19,95 octane petrol
Avia,577.0,"Marcali, Berzsenyi utca 97.",2024-01-19,95 octane petrol
Omv,622.9,"Bátaszék, M6 autópálya 166.km hrsz: 120/118 jobb",2024-01-19,95 octane petrol
Orlen,581.0,"Bátaszék, Mozi tér",2024-01-19,95 octane petrol
Avia,579.9,"Dombóvár, Kórház utca 1.",2024-01-19,95 octane petrol
Mol Partner+,580.0,"Mágocs, Vásártér 896/8 hrsz (Ady E u 79/b)",2024-01-19,95 octane petrol
Green-Way Park Kft. ,583.9,"Mágocs, Béke utca 36.",2024-01-19,95 octane petrol
Mol,579.0,"Bátaszék, Budai út 114-116.  ",2024-01-19,95 octane petrol
Shell,579.9,"Dombóvár, Juhász Gyula u. 1.",2024-01-19,95 octane petrol
Orlen,581.0,"Pacsa, 75-ös Főút",2024-01-19,95 octane petrol
Mol,579.0,"Dombóvár, Köztársaság u. 27. (Tüskevár)  ",2024-01-19,95 octane petrol
Mol,579.0,"Szentgotthárd, Rábafüzesi út 1.  ",2024-01-19,95 octane petrol
Mol,579.0,"Bonyhád, Kossuth Lajos u. 79. (Bonyhád elkerülő út)",2024-01-19,95 octane petrol
Orlen,581.0,"Sármellék, Dózsa Gy.út 163/a",2024-01-19,95 octane petrol
TGC Hungary Kft. Tanya Petrol ,561.0,"Baja, Külterület 015/62 hrsz. ",2024-01-19,95 octane petrol
Mol,579.0,"Bonyhád, Zrínyi Miklós u. 25.  ",2024-01-19,95 octane petrol
Tele-Tank,579.9,"Balatonszentgyörgy, Berzsenyi D. u. 54",2024-01-19,95 octane petrol
Mol,579.0,"Zalaegerszeg, Zrínyi Miklós út 20.  ",2024-01-19,95 octane petrol
Orlen,581.0,"Szentgotthárd, 8-as út (Szentgotthárd 0355/51 hrsz) Rábafüzes",2024-01-19,95 octane petrol
Mol,579.0,"Szentgotthárd, 8 - as út",2024-01-19,95 octane petrol
Omv,572.9,"Zalaegerszeg, Göcseji út 26.",2024-01-19,95 octane petrol
Shell,579.9,"Baja, Dózsa Gy. út 13.",2024-01-19,95 octane petrol
Mol,579.0,"Zalaegerszeg, Göcseji u. 37/A",2024-01-19,95 octane petrol
Mol,579.0,"Baja, Szegedi út  105.",2024-01-19,95 octane petrol
Shell,610.9,"Balatonkeresztúr, M7 Balatonkeresztúr - dél",2024-01-19,95 octane petrol
Shell,579.9,"Baja, Dózsa György út 126-130.",2024-01-19,95 octane petrol
Shell,610.9,"Balatonkeresztúr, M7 Balatonkeresztúr - észak",2024-01-19,95 octane petrol
Mol,579.0,"Baja, Dózsa Gy. u. 97.",2024-01-19,95 octane petrol
Mol Partner+,560.0,"Zalaegerszeg, Teskándi út 38.",2024-01-19,95 octane petrol
Shell,579.9,"Zalaegerszeg, Hock J. u. 100",2024-01-19,95 octane petrol
Orlen,581.0,"Balatonmáriafűrdő, 7-es főút 164.km 054/1 hrsz Balatonkeresztúr",2024-01-19,95 octane petrol
Oranges Oil Company,569.9,"Zalaegerszeg, Balatoni u 5-7. / Zalapark",2024-01-19,95 octane petrol
Mol,579.0,"Zalaegerszeg, Balatoni út I.  ",2024-01-19,95 octane petrol
Mobil Petrol,577.9,"Baja, külterület 0402/355 hrsz.",2024-01-19,95 octane petrol
Shell,579.9,"Zalaegerszeg, Balatoni út 2735/1 hrsz.",2024-01-19,95 octane petrol
Mol,579.0,"Balatonkeresztúr, 7.sz.fkl.út  ",2024-01-19,95 octane petrol
Zalapack  96 Kft.,578.0,"Zalaegerszeg, Gazdaság út 32.",2024-01-18,95 octane petrol
Mol,579.0,"Keszthely, Festetics György u.  ",2024-01-19,95 octane petrol
Orlen,581.0,"Zalaegerszeg, Kaszaházi út 96.",2024-01-19,95 octane petrol
Mobil Petrol,576.9,"Alsópáhok, Hévizi út 14.",2024-01-19,95 octane petrol
Sza-Oil Kft.,577.9,"Kurd, Hunyadi u. 22/a",2024-01-19,95 octane petrol
Mobil Petrol,576.9,"Keszthely, Hévizi út",2024-01-19,95 octane petrol
Mol,579.0,"Keszthely, Tapolcai út  ",2024-01-19,95 octane petrol
Omv,580.9,"Keszthely, Csapás u. 2505/3",2024-01-19,95 octane petrol
Mol,579.0,"Szekszárd, Csatári u.",2024-01-19,95 octane petrol
Mol,579.0,"Hévíz, Hévízi út  ",2024-01-19,95 octane petrol
Határ Oil Kft.,571.0,"Szekszárd, Tartsay Vilmos utca 40.",2024-01-16,95 octane petrol
Mobil Petrol,564.9,"Keszthely, Csapás út 5.",2024-01-19,95 octane petrol
Orlen,581.0,"Keszthely, Tapolcai u.106.",2024-01-19,95 octane petrol
Red Viking Kft.,575.9,"Nádasd, Petőfi u. 96.",2024-01-15,95 octane petrol
Shell,579.9,"Keszthely, Csapás út 27.",2024-01-19,95 octane petrol
Mol,579.0,"Bácsalmás, Backnang út 7.  ",2024-01-19,95 octane petrol
Oranges Oil Company,569.9,"Keszthely, Csapás út - Gyenesdiási körforgalomnál ",2024-01-19,95 octane petrol
Mol,579.0,"Csávoly, Dózsa Gy. u. 50.",2024-01-19,95 octane petrol
Omv,580.9,"Szekszárd, Tartsay út 8.",2024-01-19,95 octane petrol
Omv,580.9,"Kocsola, 61. sz. főút és Dombóvári u. kereszteződés",2024-01-19,95 octane petrol
Avia,572.9,"Érsekcsanád, Kt. 09/34 hrsz.",2024-01-19,95 octane petrol
Mol,579.0,"Sűkösd, Dózsa György út 1.  ",2024-01-19,95 octane petrol
Shell,579.9,"Szekszárd, Palánki u. 2.",2024-01-19,95 octane petrol
Shell,579.9,"Körmend, Rákóczi út 124.",2024-01-19,95 octane petrol
Mol,579.0,"Fonyód, József Attila u. (Bélatelep)  ",2024-01-19,95 octane petrol
Mol,579.0,"Szekszárd, Pásztor út 6.",2024-01-19,95 octane petrol
Mol,579.0,"Körmend, Rákóczi Ferenc út  ",2024-01-19,95 octane petrol
Mol,579.0,"Balatonederics, 71-es Főút 069 hrsz",2024-01-19,95 octane petrol
Concordia Trans Kft.,571.0,"Körmend, Sport utca 5. (TESCO)",2024-01-18,95 octane petrol
Omv,580.9,"Körmend, Rákóczi út 86/8 kereszteződése",2024-01-19,95 octane petrol
Mol,579.0,"Hőgyész, Szérűskert sor",2024-01-19,95 octane petrol
Mol,579.0,"Badacsonytomaj, 71.sz. föút  ",2024-01-19,95 octane petrol
Körgépmezép Kft.,564.9,"Mélykút, Bajai út 8. ",2024-01-18,95 octane petrol
Mol,579.0,"Tolna-Mözs, Béri Balogh Ádám u. 4.",2024-01-19,95 octane petrol
AUTÓS-PORTA Kft.,575.0,"Nagykónyi, Vásártér",2024-01-19,95 octane petrol
Mol,629.0,"Szekszárd, M6 I. jobb oldal",2024-01-19,95 octane petrol
Mol,629.0,"Szekszárd, M6 II. bal oldal",2024-01-19,95 octane petrol
Shell,579.9,"Balatonboglár, Klapka u. 32.",2024-01-19,95 octane petrol
Omv,580.9,"Zalaszentgrót, Koppányi út 5. Erzsébet liget utca 5.",2024-01-19,95 octane petrol
Mol,579.0,"Tolna, Szedresi u.  ",2024-01-19,95 octane petrol
Oranges Oil Company,569.9,"Zalaszentgrót, Türjei u. és Móricz Zsigmond u. ",2024-01-19,95 octane petrol
Mol Partner+,599.1,"Dusnok, Bercsényi u. 50. (51. sz. főút)",2024-01-19,95 octane petrol
Mol,579.0,"Balatonlelle, Rákóczi Ferenc u. 1.  ",2024-01-19,95 octane petrol
Omv,580.9,"Balatonlelle, 7.sz. főút 138. km",2024-01-19,95 octane petrol
Mol,629.0,"Balatonlelle, M7 II. (bejövő)",2024-01-19,95 octane petrol
Mol,629.0,"Balatonlelle, M7 I. (kimenő)",2024-01-19,95 octane petrol
Mol,579.0,"Vasvár, Dr.Tretter László u.52.  ",2024-01-19,95 octane petrol
Gyönki Autócentrum Kft.,574.9,"Gyönk, Külterület 07 hrsz.",2024-01-15,95 octane petrol
Omv,580.9,"Révfűlöp, Badacsonyi út 71. számú főút",2024-01-19,95 octane petrol
Mol,579.0,"Tapolca, Keszthelyi u.  8",2024-01-19,95 octane petrol
Tamási Autócentrum Kft.,574.9,"Tamási, Belterület 2594 hrsz.",2024-01-15,95 octane petrol
Mol,579.0,"Tapolca, Kossuth út  ",2024-01-19,95 octane petrol
Shell,579.9,"Tapolca, Veszprémi út 5.",2024-01-19,95 octane petrol
Mol,579.0,"Jánoshalma, Halasi út 91. (4099/3. hrsz).",2024-01-19,95 octane petrol
Mol,579.0,"Tamási, Szabadság u. 90.  ",2024-01-19,95 octane petrol
Mol,579.0,"Tab, Siófoki út  3.",2024-01-19,95 octane petrol
Alfa-Hajós Kft.,582.9,"Hajós, Kossuth u. 60.",2024-01-19,95 octane petrol
METRICAL Kft.,577.0,"Sűmeg, Somoskert u. 2/7.",2024-01-19,95 octane petrol
Mol,579.0,"Sűmeg, Alkotmány u.  ",2024-01-19,95 octane petrol
Mol,579.0,"Kám, Jókai Mór út 2.  ",2024-01-19,95 octane petrol
Volánbusz Zrt.,572.0,"Sűmeg, Rendeki u. 200. hrsz.",2024-01-15,95 octane petrol
Shell,579.9,"Sümeg, 84-es főút 80. km",2024-01-19,95 octane petrol
Edo,573.9,"Ásotthalom, 3/13 hrsz.",2024-01-19,95 octane petrol
Mol,579.0,"Balatonföldvár, Szentgyörgyi út  ",2024-01-19,95 octane petrol
Concordia Trans Kft.,572.0,"Torony, Felsőőri u. Ipartelep 9.",2024-01-18,95 octane petrol
Mol,579.0,"Pincehely, Kossuth u.4.  ",2024-01-19,95 octane petrol
Gerda-Brigi Kft,584.0,"Szentantalfa, Fő u. 96.",2024-01-19,95 octane petrol
Avia,575.9,"Szombathely, Körmendi út 92.",2024-01-17,95 octane petrol
Omv,580.9,"Szombathely, Körmendi út 92.",2024-01-19,95 octane petrol
Omv,580.9,"Szombathely, Rumi út",2024-01-19,95 octane petrol
Omv,579.9,"Kalocsa, Bátyai út 83.",2024-01-19,95 octane petrol
Oil!,581.9,"Mórahalom, Röszkei út 40.",2024-01-15,95 octane petrol
GALÁNTAI Bt.,581.0,"Mórahalom, Szegedi út",2024-01-15,95 octane petrol
Shell,579.9,"Szombathely, Kiskar u. 6.",2024-01-19,95 octane petrol
Shell,579.9,"Kalocsa, Bátyai út 8-10.",2024-01-19,95 octane petrol
Volánbusz Zrt.,571.0,"Kalocsa, Bátyai út 4. ",2024-01-15,95 octane petrol
Orlen,581.0,"Szántód, 7-es főút",2024-01-19,95 octane petrol
Shell,579.9,"Szombathely, Dolgozók útja",2024-01-19,95 octane petrol
Omv,580.9,"Szombathely, Csabai út 15.",2024-01-19,95 octane petrol
Mol,579.0,"Szombathely, Márkus Emília utca 10.",2024-01-19,95 octane petrol
Omv,622.9,"Röszke, M5 autópálya 0112/25 hrsz 172 km",2024-01-19,95 octane petrol
Omv,622.9,"Röszke, 0112/60 hrsz. 172 km M5 Nyugat",2024-01-19,95 octane petrol
Mol Partner+,576.0,"Nagydorog, Kossuth L. u. 122.",2024-01-15,95 octane petrol
Grófi Major Kft.,579.0,"Györköny, Fő u. 104.",2024-01-19,95 octane petrol
Mol,579.0,"Kalocsa, Negyvennyolcas út  52.",2024-01-19,95 octane petrol
Mol,579.0,"Szombathely, Zanati út  56",2024-01-19,95 octane petrol
Shell,579.9,"Szombathely, Zanati út 70.",2024-01-19,95 octane petrol
Mol,579.0,"Szombathely, Zanati út II. 29.",2024-01-19,95 octane petrol
Concordia Szombathely Kft.,572.0,"Szombathely, Söptei út 78.",2024-01-18,95 octane petrol
Mol,579.0,"Szombathely, Viktória út 1.",2024-01-19,95 octane petrol
Shell,579.9,"Szombathely, Kőszegi út",2024-01-19,95 octane petrol
Mol,579.0,"Zamárdi, Endrédi út  ",2024-01-19,95 octane petrol
Mol,579.0,"Ságvár, 65-ös főút",2024-01-19,95 octane petrol
Mol,579.0,"Paks, 6.sz.fkl. út bal  ",2024-01-19,95 octane petrol
Omv,580.9,"Paks, 6. sz. főút 110 km.",2024-01-19,95 octane petrol
Orlen,581.0,"Siófok, Töreki út 1.",2024-01-19,95 octane petrol
Edo,573.9,"Kiskunhalas, Malom sor 4.",2024-01-19,95 octane petrol
Mobil Petrol,626.9,"Paks, M6 ap. 107 km BAL OLDAL",2024-01-19,95 octane petrol
Mol,579.0,"Nagyvázsony, Templom kert  ",2024-01-19,95 octane petrol
Mobil Petrol,626.9,"Paks, M6 ap. 107 km JOBB OLDAL",2024-01-19,95 octane petrol
Réci Bt.,581.0,"Domaszék, Vasút utca 47.",2024-01-18,95 octane petrol
Mol,579.0,"Balatonfüred, Széchenyi István út  ",2024-01-19,95 octane petrol
Shell,579.9,"Kiskunhalas, Kárpát u. 9.",2024-01-19,95 octane petrol
Shell,579.9,"Siófok, Vak Bottyán u. 27.",2024-01-19,95 octane petrol
Mol,579.0,"Kecel, Császártöltési u. 50.  ",2024-01-19,95 octane petrol
Shell,579.9,"Balatonfüred, Széchenyi út 11.",2024-01-19,95 octane petrol
Mol,579.0,"Kiskunhalas, Majsai út 18.  ",2024-01-19,95 octane petrol
B & T Üzemanyagkút Kft.,574.0,"Zsana, 0157/2 hrsz. 5408 számú út mellett",2024-01-17,95 octane petrol
Omv,580.9,"Siófok, Vak Bottyán u. 1.",2024-01-19,95 octane petrol
Volánbusz Zrt.,572.0,"Balatonfüred, Bajcsy-Zsilinszky u. 53.",2024-01-15,95 octane petrol
Mobil Petrol,578.9,"Balatonfüred, Fürdő u. 20.",2024-01-19,95 octane petrol
Mol Partner+,571.9,"Kiskunhalas, Vadkerti út 1037/4",2024-01-15,95 octane petrol
Mol,579.0,"Simontornya, Belterület 1326/3 hrsz",2024-01-19,95 octane petrol
Smart Oil Kft.,571.9,"Siófok, Fő u. 234.",2024-01-15,95 octane petrol
Shell,579.9,"Szeged, Szabadkai út 7.",2024-01-19,95 octane petrol
Palotás Kft.,577.9,"Paks,  Dunakömlőd - Szabadság u. 14. 8229/2 hrsz.",2024-01-19,95 octane petrol
Mol,579.0,"Devecser, Pápai út  ",2024-01-19,95 octane petrol
Mol,579.0,"Szeged, Makai út  ",2024-01-19,95 octane petrol
Shell,579.9,"Szeged, Bajai út 2-4.",2024-01-19,95 octane petrol
Mol,579.0,"Siófok, Wesselényi u. 106.",2024-01-19,95 octane petrol
Mol,579.0,"Szeged, Kálvária sugárút 96.  ",2024-01-19,95 octane petrol
Mol,579.0,"Sárvár, Vágóhíd u. 1.  ",2024-01-19,95 octane petrol
Edo,574.9,"Szeged, Szőregi út 39-41.",2024-01-19,95 octane petrol
Shell,579.9,"Sárvár, Feketehíd út- Deák Ferenc út",2024-01-19,95 octane petrol
Mol,629.0,"Siófok, M7 autópálya 94. km (DÉL) Sóstói pihenő II.",2024-01-19,95 octane petrol
Mol,629.0,"Siófok, M7 autópálya 94. km (ÉSZAK) Sóstói pihenő I.",2024-01-19,95 octane petrol
Oil!,574.9,"Szeged, Fonógyári út 18.",2024-01-15,95 octane petrol
Edo,574.9,"Szeged, Dorozsmai út 100.",2024-01-19,95 octane petrol
Mol,579.0,"Szeged, Vásárhelyi Pál u. 25444 hrsz.",2024-01-19,95 octane petrol
Mol,579.0,"Szeged, Dorozsmai út 16.",2024-01-19,95 octane petrol
Mol,579.0,"Szeged, Dorozsmai út 20.  ",2024-01-19,95 octane petrol
Omv,580.9,"Szeged, Dorozsmai út 1.",2024-01-19,95 octane petrol
Shell,579.9,"Szeged, Budapesti út 8.",2024-01-19,95 octane petrol
Auchan,565.0,"Szeged, Zápor út 4.",2024-01-19,95 octane petrol
Omv,580.9,"Kőszeg, Szombathelyi út 2.",2024-01-19,95 octane petrol
Oil!,574.9,"Szeged, Back Bernát u. 6.",2024-01-15,95 octane petrol
Mol,579.0,"Kőszeg, Petőfi Sándor tér  ",2024-01-19,95 octane petrol
Omv,580.9,"Ajka, Petőfi u.",2024-01-19,95 octane petrol
Omv,579.9,"Szeged, Etelka sor 13.",2024-01-19,95 octane petrol
Mol,579.0,"Szeged, Csongrádi sugárút  87.",2024-01-19,95 octane petrol
Mol,579.0,"Szeged, Makkosházi krt. 6.",2024-01-19,95 octane petrol
Omv,580.9,"Szeged, Makkosházi krt. 1.",2024-01-19,95 octane petrol
Shell,579.9,"Ajka, Fő út 66.",2024-01-19,95 octane petrol
Mol,579.0,"Ajka, Fő út /Aranyvölgyi utca/  ",2024-01-19,95 octane petrol
Mobil Petrol,577.9,"Ajka, Fő út",2024-01-19,95 octane petrol
Volánbusz Zrt.,572.0,"Ajka, Hársfa u. 7. ",2024-01-15,95 octane petrol
Mol,629.0,"Szatymaz, M5 autópálya 151 km jobb oldal",2024-01-19,95 octane petrol
Mol,579.0,"Dég, 64.sz.fkl.út  ",2024-01-19,95 octane petrol
Orlen,586.0,"Celldömölk, Sági út 1922/7 hrsz",2024-01-19,95 octane petrol
Mol,629.0,"Szatymaz, M5 autópálya 151 km bal oldal",2024-01-19,95 octane petrol
Shell,579.9,"Szeged, Algyői út",2024-01-19,95 octane petrol
Orlen,581.0,"Szeged, Algyői út",2024-01-19,95 octane petrol
