brand,price,location,date,petrol
Mol,623.0,"Lakitelek, Szikra u. 206/C",2024-01-26,diesel
Mol,623.0,"Esztergom, Dorogi út (111.sz.fkl út)",2024-01-26,diesel
Mol,623.0,"Barcs, Erkel Ferenc utca hrsz.1931  ",2024-01-26,diesel
Mol,623.0,"Vajszló, Széchenyi István út 34.  ",2024-01-26,diesel
Mol,623.0,"Harkány, Pécsi út  ",2024-01-26,diesel
Mol,625.0,"Siklós, Felszabadulás út 1211/9 hrsz.",2024-01-26,diesel
Tele-Tank,623.9,"Nagyharsány, Beremendi út",2024-01-26,diesel
Mol,623.0,"Szigetvár, József Attila u. 66.  ",2024-01-26,diesel
Shell,629.9,"Szigetvár, József Attila u.",2024-01-26,diesel
Mol,623.0,"Csurgó, Iharos út  ",2024-01-26,diesel
Mol,623.0,"Villány, Virágosi út hrsz.0102.  ",2024-01-26,diesel
Tele-Tank,623.9,"Nagyatád, Berzencei út 0220/33. hrsz.",2024-01-26,diesel
Mol,623.0,"Szalánta, 58. Főút",2024-01-26,diesel
Mol,623.0,"Nagyatád, Lábodi út  30.",2024-01-26,diesel
Mol,623.0,"Szentlőrinc, Törökföld u.",2024-01-26,diesel
Mol,623.0,"Letenye, Bajcsy-Zsilinszki Endre u.  38",2024-01-26,diesel
Fer Oil 94 Kft.,620.9,"Becsehely, Hrsz. 011/31",2024-01-26,diesel
Mol,623.0,"Pécs, Maléter Pál u. Hrsz. 21169",2024-01-26,diesel
Mol,623.0,"Szentlászló, 066/2 hrsz.  ",2024-01-26,diesel
Mol,623.0,"Pécs, 6.sz.fkl. út (Cserkút)  ",2024-01-26,diesel
Omv,618.9,"Pécs, Siklósi út 45.",2024-01-24,diesel
Orlen,624.0,"Pécs, Makay",2024-01-26,diesel
Orlen,624.0,"Pécs, Megyeri",2024-01-26,diesel
Mol,623.0,"Kadarkút, Kaposvári u.  ",2024-01-26,diesel
Shell,629.9,"Pécs, Siklósi út 66.",2024-01-26,diesel
Mol,623.0,"Pécs, Endresz út  ",2024-01-26,diesel
Mol,623.0,"Pécs, Siklósi út 9.",2024-01-26,diesel
Mol,636.0,"Bóly, külterület 0184/158 hrsz.",2024-01-26,diesel
Mol,623.0,"Pécs, Szigeti út  ",2024-01-26,diesel
Mol,624.0,"Pécs, Verseny utca 1.",2024-01-26,diesel
Mobil Petrol,619.9,"Kozármisleny, 57-es és 578-as főút körforgalmában",2024-01-26,diesel
Mol,623.0,"Segesd, Dózsa György tér  ",2024-01-26,diesel
Mol,623.0,"Nagykanizsa, Camping  ",2024-01-26,diesel
Mol,623.0,"Rédics, 86.sz.fkl. út  ",2024-01-26,diesel
Shell,629.9,"Pécs, Zsolnay u. 4.",2024-01-26,diesel
Mobil Petrol,592.9,"Nagykanizsa, Kalmár utca 5. hrsz: 93/10",2024-01-26,diesel
Mobil Petrol,619.9,"Nagykanizsa, 7. főút és 74. sz. főút körforgalom",2024-01-26,diesel
Oranges Oil Company,613.9,"Nagykanizsa, Táborhely u. 4.",2024-01-26,diesel
Omv,618.9,"Nagykanizsa, Hevesi Sándor u. 5.",2024-01-24,diesel
Shell,629.9,"Pécs, Zsolnay V. u. 41-43",2024-01-26,diesel
Mol,623.0,"Nagykanizsa, Balatoni út  ",2024-01-26,diesel
Omv,618.9,"Pécs, Zsolnay út 50.",2024-01-24,diesel
Orlen,624.0,"Nagykanizsa, Magyar u. 118.",2024-01-26,diesel
Volánbusz Zrt.,598.0,"Nagykanizsa, Virág Benedek u. 4. ",2024-01-26,diesel
Shell,629.9,"Nagykanizsa, Balatoni út",2024-01-26,diesel
Omv,618.9,"Nagykanizsa, Virág Benedek u. 4.",2024-01-24,diesel
Mol,623.0,"Nagykanizsa, Elkerülő út - Garai út 17.",2024-01-26,diesel
Shell,629.9,"Nagykanizsa, Boszorkány u. 2.",2024-01-26,diesel
Mol Partner+,598.9,"Nagykanizsa, Magyar utca 166.",2024-01-26,diesel
Shell,629.9,"Pécs, Budai vám 1. (6.sz. főút mellett)",2024-01-26,diesel
Mol,623.0,"Pécs, Pécsváradi út 12.",2024-01-26,diesel
Volánbusz Zrt.,616.0,"Lenti, Petőfi Sándor u. 28. ",2024-01-26,diesel
Mol,623.0,"Lenti, Széchenyi tér 3.  ",2024-01-26,diesel
Mol,623.0,"Pécs, Komlói út  ",2024-01-26,diesel
Mol,625.0,"Mohács, Eszéki út  ",2024-01-26,diesel
Mol,623.0,"Mohács, Pécsi út  ",2024-01-26,diesel
Orlen,624.0,"Böhönye, 61-es és 68-as csomópont",2024-01-26,diesel
Shell,629.9,"Mohács, Újváros, 57. sz. főút (3403/103.hrsz)",2024-01-26,diesel
Mol,623.0,"Böhönye, Szabadság u.  ",2024-01-26,diesel
Orlen,624.0,"Galambok, 7-es főút 196km 024/5 hrsz",2024-01-26,diesel
Orlen,624.0,"Mohács, Szőlőhegy 7714. hrsz.",2024-01-26,diesel
Mol,673.0,"Zalakomár, 8752 dél - INA benzikút M7",2024-01-26,diesel
Mol,673.0,"Zalakomár, 8752 észak - INA benzikút M7",2024-01-26,diesel
Tele-Tank,623.9,"Magyarszék, külterület 0134/3 hrsz (66-os út mellett)",2024-01-26,diesel
Mol,623.0,"Komló, Feketegyémánt tér  ",2024-01-26,diesel
Mobil Petrol,621.9,"Geresdlak, Hunyadi János utca",2024-01-26,diesel
Shell,629.9,"Komló, Kossuth L. u. 54-56.",2024-01-26,diesel
Mol,623.0,"Pécsvárad, 6.sz.fkl.út  ",2024-01-26,diesel
Mol,623.0,"Sásd, Noszlopy Gáspár u.  ",2024-01-26,diesel
Mol,623.0,"Kaposvár, Marhahajtó út Vásár tér",2024-01-26,diesel
Omv,618.9,"Kaposvár, Áchim A u.",2024-01-24,diesel
Mol,623.0,"Kaposvár, Kanizsai u. külterület 031/7",2024-01-26,diesel
Shell,629.9,"Kaposvár, Berzsenyi u.",2024-01-26,diesel
Tele-Tank,623.9,"Kaposvár, Jutai út 26/a.",2024-01-26,diesel
Mobil Petrol,616.9,"Kaposvár, Árpád út 33-35.",2024-01-26,diesel
Mol,624.0,"Kaposvár, Guba Sándor út 3628/28 HRSZ",2024-01-26,diesel
Omv,618.9,"Kaposvár, Füredi út (5374/22 hrsz.)",2024-01-24,diesel
Mol,623.0,"Kaposvár, Füredi út 180.  ",2024-01-26,diesel
Mol Partner+,621.0,"Hetes, Petőfi Sándor utca 1.",2024-01-27,diesel
Tele-Tank,623.9,"Kaposvár, Toponári út 2.",2024-01-26,diesel
Mol,623.0,"Kaposszekcső, 611-es főút 0103/27 hrsz. (Petőfi u.)",2024-01-26,diesel
Avia,624.0,"Őriszentpéter, Városszer 22.",2024-01-26,diesel
Mobil Petrol,621.9,"Bátmonostor, Baracskai utca 57. 51. számú főút",2024-01-26,diesel
Orlen,624.0,"Mecseknádasd, Kültelek 1. 070/1hrsz",2024-01-26,diesel
Mol,623.0,"Kapospula, Rákóczi út 10.  ",2024-01-26,diesel
Omv,661.9,"Bátaszék, M6 autópálya 166.km hrsz: 120/118 bal",2024-01-24,diesel
Mol,623.0,"Marcali, Noszlopy Gáspár u. 37.  ",2024-01-26,diesel
Avia,623.0,"Marcali, Berzsenyi utca 97.",2024-01-26,diesel
Omv,661.9,"Bátaszék, M6 autópálya 166.km hrsz: 120/118 jobb",2024-01-24,diesel
Orlen,624.0,"Bátaszék, Mozi tér",2024-01-26,diesel
Avia,623.9,"Dombóvár, Kórház utca 1.",2024-01-26,diesel
Mol Partner+,626.0,"Mágocs, Vásártér 896/8 hrsz (Ady E u 79/b)",2024-01-26,diesel
Green-Way Park Kft. ,623.9,"Mágocs, Béke utca 36.",2024-01-24,diesel
Mol,623.0,"Bátaszék, Budai út 114-116.  ",2024-01-26,diesel
Shell,629.9,"Dombóvár, Juhász Gyula u. 1.",2024-01-26,diesel
Orlen,624.0,"Pacsa, 75-ös Főút",2024-01-26,diesel
Mol,623.0,"Dombóvár, Köztársaság u. 27. (Tüskevár)  ",2024-01-26,diesel
Mol,623.0,"Szentgotthárd, Rábafüzesi út 1.  ",2024-01-26,diesel
Mol,623.0,"Bonyhád, Kossuth Lajos u. 79. (Bonyhád elkerülő út)",2024-01-26,diesel
Orlen,624.0,"Sármellék, Dózsa Gy.út 163/a",2024-01-26,diesel
TGC Hungary Kft. Tanya Petrol ,617.0,"Baja, Külterület 015/62 hrsz. ",2024-01-26,diesel
Mol,623.0,"Bonyhád, Zrínyi Miklós u. 25.  ",2024-01-26,diesel
Volánbusz Zrt.,616.0,"Zalaegerszeg, Zrínyi Miklós u. 99. ",2024-01-26,diesel
Tele-Tank,623.9,"Balatonszentgyörgy, Berzsenyi D. u. 54",2024-01-26,diesel
Mol,623.0,"Zalaegerszeg, Zrínyi Miklós út 20.  ",2024-01-26,diesel
Orlen,624.0,"Szentgotthárd, 8-as út (Szentgotthárd 0355/51 hrsz) Rábafüzes",2024-01-26,diesel
Mol,623.0,"Szentgotthárd, 8 - as út",2024-01-26,diesel
Omv,618.9,"Zalaegerszeg, Göcseji út 26.",2024-01-24,diesel
Shell,629.9,"Baja, Dózsa Gy. út 13.",2024-01-26,diesel
Mol,623.0,"Zalaegerszeg, Göcseji u. 37/A",2024-01-26,diesel
Mol,623.0,"Baja, Szegedi út  105.",2024-01-26,diesel
Shell,656.9,"Balatonkeresztúr, M7 Balatonkeresztúr - dél",2024-01-26,diesel
Shell,629.9,"Baja, Dózsa György út 126-130.",2024-01-26,diesel
Shell,656.9,"Balatonkeresztúr, M7 Balatonkeresztúr - észak",2024-01-26,diesel
Mol,623.0,"Baja, Dózsa Gy. u. 97.",2024-01-26,diesel
Mol Partner+,604.0,"Zalaegerszeg, Teskándi út 38.",2024-01-26,diesel
Shell,629.9,"Zalaegerszeg, Hock J. u. 100",2024-01-26,diesel
Orlen,624.0,"Balatonmáriafűrdő, 7-es főút 164.km 054/1 hrsz Balatonkeresztúr",2024-01-26,diesel
Oranges Oil Company,613.9,"Zalaegerszeg, Balatoni u 5-7. / Zalapark",2024-01-26,diesel
Mol,623.0,"Zalaegerszeg, Balatoni út I.  ",2024-01-26,diesel
Mobil Petrol,619.9,"Baja, külterület 0402/355 hrsz.",2024-01-26,diesel
Shell,629.9,"Zalaegerszeg, Balatoni út 2735/1 hrsz.",2024-01-26,diesel
Mol,623.0,"Balatonkeresztúr, 7.sz.fkl.út  ",2024-01-26,diesel
Zalapack  96 Kft.,622.0,"Zalaegerszeg, Gazdaság út 32.",2024-01-25,diesel
Mol,623.0,"Keszthely, Festetics György u.  ",2024-01-26,diesel
Orlen,624.0,"Zalaegerszeg, Kaszaházi út 96.",2024-01-26,diesel
Mobil Petrol,619.9,"Alsópáhok, Hévizi út 14.",2024-01-26,diesel
Volánbusz Zrt.,611.0,"Keszthely, Mártírok u. 2. ",2024-01-26,diesel
Sza-Oil Kft.,623.9,"Kurd, Hunyadi u. 22/a",2024-01-26,diesel
Mobil Petrol,619.9,"Keszthely, Hévizi út",2024-01-26,diesel
Mol,623.0,"Keszthely, Tapolcai út  ",2024-01-26,diesel
Omv,618.9,"Keszthely, Csapás u. 2505/3",2024-01-24,diesel
Mol,623.0,"Szekszárd, Csatári u.",2024-01-26,diesel
Mol,623.0,"Hévíz, Hévízi út  ",2024-01-26,diesel
Határ Oil Kft.,616.0,"Szekszárd, Tartsay Vilmos utca 40.",2024-01-25,diesel
Mobil Petrol,607.9,"Keszthely, Csapás út 5.",2024-01-26,diesel
Orlen,624.0,"Keszthely, Tapolcai u.106.",2024-01-26,diesel
Red Viking Kft.,617.9,"Nádasd, Petőfi u. 96.",2024-01-26,diesel
Shell,629.9,"Keszthely, Csapás út 27.",2024-01-26,diesel
Mol,623.0,"Bácsalmás, Backnang út 7.  ",2024-01-26,diesel
Oranges Oil Company,607.9,"Keszthely, Csapás út - Gyenesdiási körforgalomnál ",2024-01-24,diesel
Mol,623.0,"Csávoly, Dózsa Gy. u. 50.",2024-01-26,diesel
Omv,618.9,"Szekszárd, Tartsay út 8.",2024-01-24,diesel
Omv,618.9,"Kocsola, 61. sz. főút és Dombóvári u. kereszteződés",2024-01-24,diesel
Avia,607.9,"Érsekcsanád, Kt. 09/34 hrsz.",2024-01-19,diesel
Korrekt-Kút Kft.,623.0,"Szekszárd, Keselyűsi út 120.",2024-01-26,diesel
Mol,623.0,"Sűkösd, Dózsa György út 1.  ",2024-01-26,diesel
Shell,629.9,"Szekszárd, Palánki u. 2.",2024-01-26,diesel
Shell,629.9,"Körmend, Rákóczi út 124.",2024-01-26,diesel
Mol,623.0,"Fonyód, József Attila u. (Bélatelep)  ",2024-01-26,diesel
Mol,623.0,"Szekszárd, Pásztor út 6.",2024-01-26,diesel
Mol,623.0,"Körmend, Rákóczi Ferenc út  ",2024-01-26,diesel
Mol,623.0,"Balatonederics, 71-es Főút 069 hrsz",2024-01-26,diesel
Concordia Trans Kft.,607.0,"Körmend, Sport utca 5. (TESCO)",2024-01-23,diesel
Omv,618.9,"Körmend, Rákóczi út 86/8 kereszteződése",2024-01-24,diesel
Avia,618.0,"Andocs, Ady Endre u. 206/5 hrsz.",2024-01-26,diesel
Mol,623.0,"Hőgyész, Szérűskert sor",2024-01-26,diesel
Mol,623.0,"Badacsonytomaj, 71.sz. föút  ",2024-01-26,diesel
Körgépmezép Kft.,609.9,"Mélykút, Bajai út 8. ",2024-01-26,diesel
Mol,623.0,"Tolna-Mözs, Béri Balogh Ádám u. 4.",2024-01-26,diesel
AUTÓS-PORTA Kft.,618.0,"Nagykónyi, Vásártér",2024-01-26,diesel
Mol,673.0,"Szekszárd, M6 I. jobb oldal",2024-01-26,diesel
Mol,673.0,"Szekszárd, M6 II. bal oldal",2024-01-26,diesel
Shell,629.9,"Balatonboglár, Klapka u. 32.",2024-01-26,diesel
Omv,618.9,"Zalaszentgrót, Koppányi út 5. Erzsébet liget utca 5.",2024-01-24,diesel
Volánbusz Zrt.,618.0,"Zalaszentgrót, Szőlő u. 17. ",2024-01-26,diesel
Mol,623.0,"Tolna, Szedresi u.  ",2024-01-26,diesel
Oranges Oil Company,613.9,"Zalaszentgrót, Türjei u. és Móricz Zsigmond u. ",2024-01-26,diesel
Mol Partner+,613.1,"Dusnok, Bercsényi u. 50. (51. sz. főút)",2024-01-26,diesel
Mol,623.0,"Balatonlelle, Rákóczi Ferenc u. 1.  ",2024-01-26,diesel
Omv,618.9,"Balatonlelle, 7.sz. főút 138. km",2024-01-24,diesel
Mol,673.0,"Balatonlelle, M7 II. (bejövő)",2024-01-26,diesel
Mol,673.0,"Balatonlelle, M7 I. (kimenő)",2024-01-26,diesel
Omv,626.9,"Tompa, Külterület 0356/46",2024-01-26,diesel
Mol,623.0,"Vasvár, Dr.Tretter László u.52.  ",2024-01-26,diesel
Gyönki Autócentrum Kft.,621.9,"Gyönk, Külterület 07 hrsz.",2024-01-26,diesel
Omv,618.9,"Révfűlöp, Badacsonyi út 71. számú főút",2024-01-24,diesel
Mol,623.0,"Tapolca, Keszthelyi u.  8",2024-01-26,diesel
Volánbusz Zrt.,616.0,"Tapolca, Keszthelyi u. 43.",2024-01-26,diesel
Tamási Autócentrum Kft.,621.9,"Tamási, Belterület 2594 hrsz.",2024-01-26,diesel
Mol,623.0,"Tapolca, Kossuth út  ",2024-01-26,diesel
Shell,629.9,"Tapolca, Veszprémi út 5.",2024-01-26,diesel
Mol,623.0,"Jánoshalma, Halasi út 91. (4099/3. hrsz).",2024-01-26,diesel
Mol,623.0,"Tamási, Szabadság u. 90.  ",2024-01-26,diesel
Alfa-Hajós Kft.,611.9,"Hajós, Kossuth u. 60.",2024-01-24,diesel
METRICAL Kft.,626.0,"Sűmeg, Somoskert u. 2/7.",2024-01-26,diesel
Mol Partner+,624.0,"Iregszemcse, Rákóczi u. 111",2024-01-26,diesel
Mol,623.0,"Sűmeg, Alkotmány u.  ",2024-01-26,diesel
Mol,623.0,"Kám, Jókai Mór út 2.  ",2024-01-26,diesel
Volánbusz Zrt.,616.0,"Sűmeg, Rendeki u. 200. hrsz.",2024-01-26,diesel
Shell,629.9,"Sümeg, 84-es főút 80. km",2024-01-26,diesel
Edo,616.9,"Ásotthalom, 3/13 hrsz.",2024-01-26,diesel
Mol,623.0,"Balatonföldvár, Szentgyörgyi út  ",2024-01-26,diesel
Concordia Trans Kft.,608.0,"Torony, Felsőőri u. Ipartelep 9.",2024-01-23,diesel
Mol,623.0,"Pincehely, Kossuth u.4.  ",2024-01-26,diesel
Gerda-Brigi Kft,626.0,"Szentantalfa, Fő u. 96.",2024-01-26,diesel
Avia,598.9,"Szombathely, Körmendi út 92.",2023-11-22,diesel
Omv,618.9,"Szombathely, Körmendi út 92.",2024-01-24,diesel
Omv,618.9,"Szombathely, Rumi út",2024-01-24,diesel
Omv,624.9,"Kalocsa, Bátyai út 83.",2024-01-26,diesel
Oil!,624.9,"Mórahalom, Röszkei út 40.",2024-01-26,diesel
