brand,price,location,date,petrol
Mol,609.0,"Lakitelek, Szikra u. 206/C",2023-11-15,diesel
Mol,609.0,"Esztergom, Dorogi út (111.sz.fkl út)",2023-11-15,diesel
Mol,609.0,"Barcs, Erkel Ferenc utca hrsz.1931  ",2023-11-15,diesel
Mol,609.0,"Vajszló, Széchenyi István út 34.  ",2023-11-15,diesel
Mol,609.0,"Harkány, Pécsi út  ",2023-11-15,diesel
Mol,609.0,"Siklós, Felszabadulás út 1211/9 hrsz.",2023-11-15,diesel
Tele-Tank,603.9,"Nagyharsány, Beremendi út",2023-11-17,diesel
Mol,609.0,"Szigetvár, József Attila u. 66.  ",2023-11-15,diesel
Shell,607.9,"Szigetvár, József Attila u.",2023-11-15,diesel
Mol,609.0,"Csurgó, Iharos út  ",2023-11-15,diesel
Mol,609.0,"Villány, Virágosi út hrsz.0102.  ",2023-11-15,diesel
Tele-Tank,603.9,"Nagyatád, Berzencei út 0220/33. hrsz.",2023-11-17,diesel
Mol,609.0,"Szalánta, 58. Főút",2023-11-15,diesel
Mol,609.0,"Nagyatád, Lábodi út  30.",2023-11-15,diesel
Mol,609.0,"Szentlőrinc, Törökföld u.",2023-11-15,diesel
Mol,609.0,"Letenye, Bajcsy-Zsilinszki Endre u.  38",2023-11-15,diesel
Fer Oil 94 Kft.,594.9,"Becsehely, Hrsz. 011/31",2023-11-15,diesel
Mol,609.0,"Pécs, Maléter Pál u. Hrsz. 21169",2023-11-15,diesel
Mol,609.0,"Szentlászló, 066/2 hrsz.  ",2023-11-15,diesel
Mol,609.0,"Pécs, 6.sz.fkl. út (Cserkút)  ",2023-11-15,diesel
Omv,607.9,"Pécs, Siklósi út 45.",2023-11-15,diesel
Orlen,603.0,"Pécs, Makay",2023-11-15,diesel
Orlen,603.0,"Pécs, Megyeri",2023-11-15,diesel
Mol,609.0,"Kadarkút, Kaposvári u.  ",2023-11-15,diesel
Shell,607.9,"Pécs, Siklósi út 66.",2023-11-15,diesel
Mol,609.0,"Pécs, Endresz út  ",2023-11-15,diesel
Mol,609.0,"Pécs, Siklósi út 9.",2023-11-15,diesel
Mol,609.0,"Bóly, külterület 0184/158 hrsz.",2023-11-15,diesel
Mol,609.0,"Pécs, Szigeti út  ",2023-11-15,diesel
Mol,609.0,"Pécs, Verseny utca 1.",2023-11-15,diesel
Mobil Petrol,601.9,"Kozármisleny, 57-es és 578-as főút körforgalmában",2023-11-15,diesel
Mol,609.0,"Segesd, Dózsa György tér  ",2023-11-15,diesel
Mol,609.0,"Nagykanizsa, Camping  ",2023-11-15,diesel
Mol,609.0,"Rédics, 86.sz.fkl. út  ",2023-11-15,diesel
Shell,607.9,"Pécs, Zsolnay u. 4.",2023-11-15,diesel
Mobil Petrol,596.9,"Nagykanizsa, 7. főút és 74. sz. főút körforgalom",2023-11-15,diesel
Oranges Oil Company,597.9,"Nagykanizsa, Táborhely u. 4.",2023-11-16,diesel
Omv,607.9,"Nagykanizsa, Hevesi Sándor u. 5.",2023-11-15,diesel
Shell,607.9,"Pécs, Zsolnay V. u. 41-43",2023-11-15,diesel
Mol,609.0,"Nagykanizsa, Balatoni út  ",2023-11-15,diesel
Omv,607.9,"Pécs, Zsolnay út 50.",2023-11-15,diesel
Orlen,603.0,"Nagykanizsa, Magyar u. 118.",2023-11-15,diesel
Volánbusz Zrt.,560.0,"Nagykanizsa, Virág Benedek u. 4. ",2023-11-16,diesel
Shell,607.9,"Nagykanizsa, Balatoni út",2023-11-15,diesel
Omv,607.9,"Nagykanizsa, Virág Benedek u. 4.",2023-11-15,diesel
Mol,609.0,"Nagykanizsa, Elkerülő út - Garai út 17.",2023-11-15,diesel
