"brand","price","location","date","petrol"
"Oil",654.9,"Berhida, 1784 hrsz",2023-10-12,"98 octane petrol"
"Other",616.9,"Soltvadkert, Kossuth utca 83/1",2023-10-12,"98 octane petrol"
"Avia",0,"Pörböly, Vadász utca 1. Hrsz:97",2023-10-12,"98 octane petrol"
"Avia",0,"Baja, Bajcsy-Zsilinszky utca 56.",2023-10-12,"98 octane petrol"
"Other",651,"Celldömölk, Kolozsvár u. 16.",2023-10-12,"98 octane petrol"
"Other",0,"Aggtelek, Kossuth L. u. hrsz 1/2",2023-10-12,"98 octane petrol"
"Other",650,"Kapuvár, Ipartelepi u. 8.",2023-10-12,"98 octane petrol"
"Other",0,"Szikszó, Hrsz. 026/12",2023-10-12,"98 octane petrol"
"Avia",0,"Hercegszántó, Hrsz:1216/2",2023-10-12,"98 octane petrol"
"Other",650,"Sopron, Bánfalvi u. 4/D.",2023-10-12,"98 octane petrol"
"Other",0,"Debrecen, Diószegi utca 32-34.",2023-10-12,"98 octane petrol"
