"brand","price","location","date","petrol"
"Other",298,"Aszód, Pesti út 25.",2023-10-03,"lpg"
"MOL",309,"Aszód, Pesti út 3.  ",2023-10-03,"lpg"
"OMV",305.9,"Dorog, Bécsi út -Csolnoki út sarok hrsz.0279/8",2023-10-03,"lpg"
"Other",299,"Felcsút, Fő út 220.",2023-10-03,"lpg"
"Avia",0,"Aszód, Falujárók útja 44.",2023-10-03,"lpg"
"Avia",325,"Kápolnásnyék, 7. sz. főút 43. km",2023-10-03,"lpg"
"OMV",305.9,"Esztergom, Kertváros, Dobogókői út - Kesztölci út sarok",2023-10-03,"lpg"
"Other",0,"Újhartyán, Dragon Benz töltőállomás",2023-10-03,"lpg"
"MOL",309,"Berettyóújfalu, 42-47 főút kereszteződés Honvéd u. 2.",2023-10-03,"lpg"
"MOL",329,"Velence, M7. autópálya I.  észak",2023-10-03,"lpg"
"MOL",309,"Adony, 6.sz. fkl. út  ",2023-10-03,"lpg"
"MOL",309,"Esztergom, Visegrádi út",2023-10-03,"lpg"
"Other",0,"Hernád, Köztársaság út 45/D OUT BENZINKÚT BT",2023-10-03,"lpg"
"Other",307,"Pátka, Külterület 0190/101 (GP benzinkút)",2023-10-03,"lpg"
"MOL",309,"Rétság, 2.sz. fkl. út  ",2023-10-03,"lpg"
"MOL",309,"Lőrinci, 21.sz. fkl. út  ",2023-10-03,"lpg"
"MOL",309,"Hatvan, Csányi út (Sport u. 1.)",2023-10-03,"lpg"
"Oil",386,"Táborfalva, Kecskeméti út 4/A",2023-10-03,"lpg"
"MOL",309,"Tatabánya, Győri út  ",2023-10-03,"lpg"
"MOL",309,"Vértesszőlős, Határ u. 1-3.",2023-10-03,"lpg"
"Orlen",326,"Pusztamonostor, 32-es Főút",2023-10-03,"lpg"
"MOL",309,"Dunaújváros, 6.sz.fkl.út   67 km",2023-10-03,"lpg"
"OMV",305.9,"Székesfehérvár, Budai út 169.",2023-10-03,"lpg"
"Other",307,"Székesfehérvár, Seregélyesi út 118.",2023-10-03,"lpg"
"MOL",309,"Oroszlány, Rákóczi Ferenc út 94/a",2023-10-03,"lpg"
"MOL",309,"Tata, Vértesszőlősi út (bal oldal)  ",2023-10-03,"lpg"
"MOL",309,"Székesfehérvár, Seregélyesi út 113.",2023-10-03,"lpg"
"Shell",0,"Székesfehérvár, Aszalvölgyi út 1.",2023-10-03,"lpg"
"MOL",309,"Székesfehérvár, Szent Flórián krt. 5.",2023-10-03,"lpg"
"OMV",305.9,"Dunaújváros, Dózsa György út",2023-10-03,"lpg"
"Shell",0,"Tata, Május 1. út",2023-10-03,"lpg"
"Shell",0,"Székesfehérvár, Palotai út",2023-10-03,"lpg"
"MOL",309,"Székesfehérvár, Sárkeresztúri út 8.  ",2023-10-03,"lpg"
"MOL",309,"Jászberény, Nagykátai út",2023-10-03,"lpg"
"MOL",309,"Lajosmizse, 50.sz.út jobb oldal  ",2023-10-03,"lpg"
"MOL",309,"Székesfehérvár, Balatoni út",2023-10-03,"lpg"
"MOL",309,"Cegléd, Pesti út 87.",2023-10-03,"lpg"
"Other",304.9,"Dunavecse, Fő út 120. 510 számú fő út",2023-10-03,"lpg"
"Avia",0,"Szabadbattyán, 09/5 hrsz.",2023-10-03,"lpg"
"Other",0,"Atkár, Fő u. 89.",2023-10-03,"lpg"
"MOL",309,"Mór, Nemes u. 24.",2023-10-03,"lpg"
"MOL",309,"Mór, Nemes utca (81-es út)  ",2023-10-03,"lpg"
"MOL",309,"Pásztó, Fő út  ",2023-10-03,"lpg"
"MOL",380,"Jászárokszállás, Jászberényi út 3.",2023-10-03,"lpg"
"Other",310,"Kerekegyháza, Szabadság u. 23.",2023-10-03,"lpg"
"MOL",309,"Szabadszállás, Petőfi Sándor út 19.  ",2023-10-03,"lpg"
"Other",0,"Kerekegyháza, Falu dülő 2.",2023-10-03,"lpg"
"Other",304.9,"Gyöngyös, Budapesti út 3. számú főút",2023-10-03,"lpg"
"MOL",309,"Gyöngyös, Pesti út 67.",2023-10-03,"lpg"
"Oil",370,"Gyöngyös, Karácsondi út 9.",2023-10-03,"lpg"
"Avia",299,"Gyöngyös, Szurdokpart utca 78.",2023-10-03,"lpg"
"MOL",309,"Fűlöpszállás, Külterület  52. számú főút Kurjantópuszta",2023-10-03,"lpg"
"Avia",0,"Polgárdi, hrsz. 05/9",2023-10-03,"lpg"
"MOL",309,"Nagykőrös, Téglagyári u. 1/a",2023-10-03,"lpg"
"OMV",339.9,"Karácsond, M3, Karácsond Észak",2023-10-03,"lpg"
"OMV",339.9,"Karácsond, M3, Karácsond Dél",2023-10-03,"lpg"
"MOL",309,"Solt, Vecsei u. 52.  ",2023-10-03,"lpg"
"MOL",309,"Várpalota, 8.sz.fkl. út II. (bal) ",2023-10-03,"lpg"
"Orlen",326,"Csém, 13-as főút",2023-10-03,"lpg"
"MOL",309,"Sárbogárd, Köztársaság út 147.  ",2023-10-03,"lpg"
"MOL",309,"Várpalota, Veszprémi út 160. 8-as főút",2023-10-03,"lpg"
"Other",0,"Abony, Kécskei út 2/A",2023-10-03,"lpg"
"Shell",0,"Kecskemét, Bethlen krt.57-61.",2023-10-03,"lpg"
"MOL",309,"Kecskemét, Izsáki út 67.",2023-10-03,"lpg"
"MOL",329,"Fűle, M7 Autópálya 83 km (Észak)(Lepsény)",2023-10-03,"lpg"
"MOL",309,"Kecskemét, Békéscsabai út  ",2023-10-03,"lpg"
"Mobil Petrol",304.9,"Kecskemét, Hrsz 0674/200 Repülős csomópont",2023-10-03,"lpg"
"MOL",309,"Salgótarján, Budapesti u. 21. sz. fkl. Út 57 km",2023-10-03,"lpg"
"Oil",349.9,"Berhida, 1784 hrsz",2023-10-03,"lpg"
"Oil",477,"Bábolna, Ács út 2.",2023-10-03,"lpg"
"OMV",339.9,"Bábolna, Bábolna - Concó pihenő észak, M1 autópálya 93. kmsz",2023-10-03,"lpg"
"OMV",339.9,"Bábolna, Bábolna - Concó pihenő dél, M1 autópálya 39. kmsz bal",2023-10-03,"lpg"
"MOL",309,"Balatonvilágos, Balatonakarattya 71.sz. föút  ",2023-10-03,"lpg"
"Other",304.9,"Balatonvilágos, hrsz 054/256.",2023-10-03,"lpg"
"Avia",0,"Enying, Dózsa Gy. Út 119.",2023-10-03,"lpg"
"OMV",305.9,"Szolnok, Thököly út 91.",2023-10-03,"lpg"
"MOL",309,"Jakabszállás, II. kerület 19.  ",2023-10-03,"lpg"
"MOL",309,"Simontornya, Belterület 1326/3 hrsz",2023-10-03,"lpg"
"Shell",0,"Szolnok, Tószegi út 5/a.",2023-10-03,"lpg"
"MOL",309,"Szolnok, Tószegi út 18/A",2023-10-03,"lpg"
"MOL",309,"Szolnok, Elkerülő út",2023-10-03,"lpg"
"OMV",305.9,"Veszprém, Aradi vértanúk útja",2023-10-03,"lpg"
"Orlen",326,"Pér, Fehérvári út 086/14 hrsz",2023-10-03,"lpg"
"MOL",309,"Veszprém, Budapesti u.  70.",2023-10-03,"lpg"
"MOL",329,"Siófok, M7 autópálya 94. km (ÉSZAK) Sóstói pihenő I.",2023-10-03,"lpg"
"MOL",329,"Kál, Rekettyés pihenő M3 II. dél ",2023-10-03,"lpg"
"MOL",329,"Siófok, M7 autópálya 94. km (DÉL) Sóstói pihenő II.",2023-10-03,"lpg"
"MOL",329,"Kál, Rekettyés pihenő M3. I észak ",2023-10-03,"lpg"
"MOL",309,"Siófok, Wesselényi u. 106.",2023-10-03,"lpg"
"OMV",305.9,"Paks, 6. sz. főút 110 km.",2023-10-03,"lpg"
"MOL",309,"Veszprém, Almádi u. 17/1",2023-10-03,"lpg"
"MOL",309,"Paks, 6.sz.fkl. út bal  ",2023-10-03,"lpg"
"MOL",309,"Tiszakécske, Szolnoki u.  ",2023-10-03,"lpg"
"MOL",309,"Veszprém, Pápai út 42.",2023-10-03,"lpg"
"MOL",309,"Bócsa, III. körzet 1.",2023-10-03,"lpg"
"Other",350,"Nagydorog, Kajdacsi u. 21/a",2023-10-03,"lpg"
"Orlen",326,"Siófok, Töreki út 1.",2023-10-03,"lpg"
"MOL",309,"Kiskunfélegyháza, Csongrádi út 18/A",2023-10-03,"lpg"
"Mobil Petrol",304.9,"Nyúl, Kossuth Lajos út (82. sz. főút)",2023-10-03,"lpg"
"MOL",309,"Fűzesabony, Maklári út",2023-10-03,"lpg"
"Orlen",326,"Soltvadkert, Halasi út 1.",2023-10-03,"lpg"
"MOL",309,"Kalocsa, Negyvennyolcas út  52.",2023-10-03,"lpg"
